state,external_variable,estimate,ci_lower,ci_upper,n_trials,n_sessions
0,response_latency_s,0.708840105280474,0.6832771443014428,0.7375946423968364,12158,112
0,current_reward_rate,0.8926632669847014,0.8824335029240001,0.9029259897309657,12158,112
0,previous_reward_rate,0.8879749958874815,0.8768069264225374,0.8995393399082733,12158,112
0,trial_position_fraction,0.5167543670459104,0.4965189533094885,0.5357625127688995,12158,112
0,absolute_stimulus_evidence_hz,5.576739595328179,5.387457822953412,5.783234361951308,12158,112
1,response_latency_s,0.8507621154076381,0.7976793967902833,0.9133801237271661,16706,167
1,current_reward_rate,0.631330061055908,0.6177615810640165,0.6449742108021468,16706,167
1,previous_reward_rate,0.6341434215252005,0.6202950904672396,0.647225750870168,16706,167
1,trial_position_fraction,0.4537968430464407,0.4389566566820243,0.467897666638801,16706,167
1,absolute_stimulus_evidence_hz,5.604692924697713,5.39923077772314,5.833557700028923,16706,167
