contrast,state,estimate,ci_lower,ci_upper,n_sessions,uncertainty
session occupancy vs withdrawal rate,0,-0.24508786541886818,-0.39097218733656497,-0.08643776856247408,167,session bootstrap 95% CI
session occupancy vs withdrawal rate,1,0.24508786541886818,0.09133778836211326,0.39818991357128125,167,session bootstrap 95% CI
