subject_name,session_name,state,posterior_occupancy
GRB006,20230919_133340,0,0.76008433
GRB006,20230920_155219,0,0.7299398
GRB006,20230921_133636,0,0.99214536
GRB006,20230922_131609,0,0.99627537
GRB006,20230925_154539,0,0.9959912
GRB006,20230926_123033,0,0.9945989
GRB006,20230927_145701,0,0.7529107
GRB006,20230928_145546,0,0.98655224
GRB006,20230929_145546,0,0.9890165
GRB006,20231002_140748,0,0.86173725
GRB006,20231003_141126,0,0.9925364
GRB006,20231004_122636,0,0.9935809
GRB006,20231005_133120,0,0.99759203
GRB006,20231006_132453,0,0.9914845
GRB006,20231009_134122,0,0.9813321
GRB006,20231010_131131,0,0.99428964
GRB006,20231011_124016,0,0.9910356
GRB006,20231012_133025,0,0.82953036
GRB006,20231016_134002,0,0.9834608
GRB006,20231017_141854,0,0.99342036
GRB006,20231018_160206,0,0.9957472
GRB006,20231019_124131,0,0.9280011
GRB006,20231020_134744,0,0.98522866
GRB006,20231023_142912,0,0.99261665
GRB006,20231024_141355,0,0.99374026
GRB006,20231026_115451,0,0.9920717
GRB006,20231027_125224,0,0.94916785
GRB006,20231031_133131,0,0.9856169
GRB006,20231101_130616,0,0.60041195
GRB006,20231102_142814,0,0.10861436
GRB006,20231103_124436,0,0.0027171224
GRB006,20231106_143523,0,0.03581919
GRB006,20231107_131358,0,0.027888885
GRB006,20231108_143210,0,0.0012668654
GRB006,20231109_132341,0,0.72943604
GRB006,20231113_132100,0,0.9846225
GRB006,20231114_135633,0,0.863724
GRB006,20231115_134443,0,0.10521189
GRB006,20231116_150200,0,0.0037155293
GRB006,20231117_185904,0,0.0023538244
GRB006,20231127_133022,0,0.33896658
GRB006,20231128_141426,0,0.9267353
GRB006,20231130_135215,0,0.3866484
GRB006,20231201_113419,0,0.007145097
GRB006,20231208_131651,0,0.7612133
GRB006,20231211_134311,0,0.9050379
GRB006,20231212_130030,0,0.9017881
GRB006,20231215_112543,0,0.8263728
GRB006,20240109_144700,0,0.9755357
GRB006,20240110_135431,0,0.5799294
GRB006,20240110_162338,0,0.045777608
GRB006,20240111_132629,0,0.9097415
GRB006,20240112_135518,0,0.9276668
GRB006,20240116_163044,0,0.66346973
GRB006,20240117_152600,0,0.9925855
GRB006,20240118_133404,0,0.9623315
GRB006,20240228_131618,0,0.42448202
GRB006,20240229_132420,0,0.9222099
GRB006,20240301_144326,0,0.9547598
GRB006,20240304_122108,0,0.85360456
GRB006,20240305_135034,0,0.9826564
GRB006,20240306_133858,0,0.085674606
GRB006,20240307_155109,0,0.2864328
GRB006,20240308_152123,0,0.3551915
GRB006,20240311_174310,0,0.89826596
GRB006,20240313_141512,0,0.9578659
GRB006,20240314_155950,0,0.9753524
GRB006,20240315_141855,0,0.9876663
GRB006,20240318_125437,0,0.9692839
GRB006,20240319_120110,0,0.9689
GRB006,20240320_124113,0,0.9862481
GRB006,20240321_131913,0,0.9717116
GRB006,20240322_141501,0,0.9740943
GRB006,20240323_142335,0,0.99300605
GRB006,20240324_135731,0,0.9795474
GRB006,20240325_115618,0,0.9944121
GRB006,20240326_140658,0,0.9506374
GRB006,20240327_154217,0,0.94840086
GRB006,20240328_135035,0,0.99218947
GRB006,20240330_144712,0,0.97299165
GRB006,20240331_132807,0,0.9183006
GRB006,20240401_125219,0,0.7148056
GRB006,20240402_140646,0,0.8321931
GRB006,20240403_131227,0,0.84013855
GRB006,20240404_115105,0,0.8621521
GRB006,20240405_142239,0,0.8872156
GRB006,20240406_122407,0,0.76517344
GRB006,20240407_123014,0,0.1430702
GRB006,20240408_135314,0,0.07106256
GRB006,20240419_151040,0,0.016237658
GRB006,20240423_162658,0,0.54409623
GRB006,20240424_150511,0,0.50951487
GRB006,20240426_174044,0,0.9364538
GRB006,20240429_174359,0,0.9032127
GRB006,20240429_184502,0,0.9834114
GRB006,20240430_183206,0,0.99455965
GRB006,20240501_195113,0,0.98587024
GRB006,20240502_161058,0,0.9188298
GRB006,20240503_163955,0,0.93640524
GRB006,20240506_171411,0,0.9106116
GRB006,20240507_180829,0,0.9714127
GRB006,20240508_173227,0,0.9936122
GRB006,20240509_163637,0,0.9902054
GRB006,20240510_180411,0,0.9824823
GRB006,20240514_164132,0,0.9924726
GRB006,20240515_164745,0,0.8185895
GRB006,20240516_140225,0,0.9453646
GRB006,20240517_161352,0,0.98934036
GRB006,20240521_170727,0,0.99111766
GRB006,20240522_170215,0,0.9777745
GRB006,20240523_174600,0,0.95795244
GRB006,20240524_162152,0,0.9931403
GRB006,20240529_150103,0,0.8790756
GRB006,20240530_164626,0,0.83721447
GRB006,20240531_164435,0,0.8821864
GRB006,20240604_123410,0,0.9359804
GRB006,20240605_133531,0,0.9917776
GRB006,20240606_141045,0,0.98525596
GRB006,20240607_133855,0,0.9942116
GRB006,20240610_133557,0,0.33281037
GRB006,20240611_134554,0,0.9959142
GRB006,20240612_142350,0,0.96620053
GRB006,20240613_140011,0,0.94995624
GRB006,20240614_132538,0,0.9296219
GRB006,20240617_123448,0,0.263283
GRB006,20240620_124808,0,0.8941155
GRB006,20240621_143838,0,0.3828965
GRB006,20240624_112117,0,0.9269626
GRB006,20240625_130638,0,0.9429642
GRB006,20240626_113043,0,0.10791898
GRB006,20240627_141852,0,0.059185788
GRB006,20240628_130506,0,0.97227854
GRB006,20240701_112146,0,0.9275771
GRB006,20240702_134736,0,0.8587697
GRB006,20240710_124222,0,0.8568842
GRB006,20240711_134140,0,0.44280213
GRB006,20240715_134530,0,0.7067572
GRB006,20240716_151257,0,0.9732357
GRB006,20240717_154846,0,0.6348614
GRB006,20240718_150828,0,0.9859728
GRB006,20240722_142540,0,0.7819108
GRB006,20240723_142451,0,0.9626577
GRB006,20240724_144439,0,0.44668138
GRB006,20240725_153628,0,0.3147811
GRB006,20240729_155308,0,0.4721388
GRB006,20240730_142934,0,0.024549441
GRB006,20240801_164225,0,0.59022504
GRB006,20240805_142718,0,0.59083694
GRB006,20240806_141817,0,0.7768247
GRB006,20240807_120640,0,0.7071801
GRB006,20240813_132409,0,0.035696566
GRB006,20240814_154434,0,0.77175397
GRB006,20240815_111040,0,0.9745181
GRB006,20240819_110829,0,0.00070403883
GRB006,20240820_115126,0,0.0066791824
GRB006,20240821_121447,0,0.016344646
GRB006,20240822_100914,0,0.0012553632
GRB006,20241002_142716,0,0.56681395
GRB006,20241003_112246,0,0.6327452
GRB006,20241004_120803,0,0.8586514
GRB006,20241007_142037,0,0.96722513
GRB006,20241008_151755,0,0.9096759
GRB006,20241011_121243,0,0.7699517
GRB006,20241015_145423,0,0.9003209
GRB006,20241016_153658,0,0.52515644
GRB006,20241018_141859,0,0.82074606
GRB006,20241021_172639,0,0.023027001
GRB006,20230919_133340,1,0.23006636
GRB006,20230920_155219,1,0.23334308
GRB006,20230921_133636,1,0.0067432765
GRB006,20230922_131609,1,0.0025502734
GRB006,20230925_154539,1,0.0030271728
GRB006,20230926_123033,1,0.0029582956
GRB006,20230927_145701,1,0.24390689
GRB006,20230928_145546,1,0.010430682
GRB006,20230929_145546,1,0.009038119
GRB006,20231002_140748,1,0.13555852
GRB006,20231003_141126,1,0.0067540533
GRB006,20231004_122636,1,0.0053554233
GRB006,20231005_133120,1,0.0011139452
GRB006,20231006_132453,1,0.006532866
GRB006,20231009_134122,1,0.017195335
GRB006,20231010_131131,1,0.0033830286
GRB006,20231011_124016,1,0.007108816
GRB006,20231012_133025,1,0.16886035
GRB006,20231016_134002,1,0.0097388765
GRB006,20231017_141854,1,0.0053398106
GRB006,20231018_160206,1,0.0020741706
GRB006,20231019_124131,1,0.07011883
GRB006,20231020_134744,1,0.0128100915
GRB006,20231023_142912,1,0.004912079
GRB006,20231024_141355,1,0.0038680048
GRB006,20231026_115451,1,0.006986463
GRB006,20231027_125224,1,0.048024636
GRB006,20231031_133131,1,0.012912874
GRB006,20231101_130616,1,0.3969263
GRB006,20231102_142814,1,0.8910335
GRB006,20231103_124436,1,0.9972505
GRB006,20231106_143523,1,0.96395177
GRB006,20231107_131358,1,0.9719874
GRB006,20231108_143210,1,0.99871397
GRB006,20231109_132341,1,0.26708284
GRB006,20231113_132100,1,0.0038329575
GRB006,20231114_135633,1,0.12942879
GRB006,20231115_134443,1,0.8932668
GRB006,20231116_150200,1,0.9962443
GRB006,20231117_185904,1,0.9976111
GRB006,20231127_133022,1,0.0343887
GRB006,20231128_141426,1,0.048323113
GRB006,20231130_135215,1,0.57752293
GRB006,20231201_113419,1,0.9927978
GRB006,20231208_131651,1,0.16111891
GRB006,20231211_134311,1,0.013503478
GRB006,20231212_130030,1,0.032858483
GRB006,20231215_112543,1,0.04755639
GRB006,20240109_144700,1,0.0057011563
GRB006,20240110_135431,1,0.42007053
GRB006,20240110_162338,1,0.87525326
GRB006,20240111_132629,1,0.005128057
