subject_name,session_name,state,dwell_trials
GRB006,20240112_135518,0,104
GRB006,20240112_135518,2,2
GRB006,20240112_135518,0,3
GRB006,20240116_163044,2,4
GRB006,20240116_163044,0,7
GRB006,20240117_152600,0,91
GRB006,20240118_133404,0,143
GRB006,20240228_131618,1,6
GRB006,20240229_132420,2,2
GRB006,20240229_132420,0,35
GRB006,20240229_132420,2,1
GRB006,20240229_132420,0,79
GRB006,20240301_144326,0,123
GRB006,20240304_122108,0,18
GRB006,20240304_122108,2,4
GRB006,20240305_135034,0,85
GRB006,20240306_133858,0,13
GRB006,20240306_133858,1,167
GRB006,20240307_155109,1,89
GRB006,20240307_155109,0,28
GRB006,20240308_152123,0,19
GRB006,20240308_152123,1,70
GRB006,20240308_152123,0,33
GRB006,20240308_152123,1,56
GRB006,20240308_152123,0,20
GRB006,20240311_174310,0,48
GRB006,20240311_174310,2,3
GRB006,20240311_174310,0,40
GRB006,20240311_174310,2,5
GRB006,20240311_174310,0,13
GRB006,20240313_141512,0,81
GRB006,20240313_141512,2,4
GRB006,20240313_141512,0,137
GRB006,20240314_155950,0,25
GRB006,20240314_155950,2,5
GRB006,20240314_155950,0,316
GRB006,20240315_141855,0,247
GRB006,20240318_125437,2,3
GRB006,20240318_125437,0,152
GRB006,20240319_120110,0,31
GRB006,20240319_120110,2,4
GRB006,20240319_120110,0,138
GRB006,20240320_124113,0,210
GRB006,20240321_131913,0,181
GRB006,20240322_141501,0,281
GRB006,20240322_141501,2,6
GRB006,20240322_141501,0,18
GRB006,20240323_142335,0,293
GRB006,20240324_135731,0,217
GRB006,20240325_115618,0,250
GRB006,20240326_140658,0,61
GRB006,20240326_140658,2,4
GRB006,20240326_140658,0,266
GRB006,20240327_154217,0,210
GRB006,20240327_154217,2,5
GRB006,20240327_154217,0,11
GRB006,20240328_135035,0,311
GRB006,20240330_144712,2,2
GRB006,20240330_144712,0,447
GRB006,20240331_132807,0,260
GRB006,20240331_132807,1,21
GRB006,20240401_125219,2,2
GRB006,20240401_125219,0,153
GRB006,20240401_125219,1,63
GRB006,20240402_140646,0,260
GRB006,20240402_140646,1,40
GRB006,20240403_131227,0,218
GRB006,20240403_131227,1,43
GRB006,20240404_115105,0,155
GRB006,20240404_115105,1,27
GRB006,20240405_142239,0,312
GRB006,20240405_142239,1,34
GRB006,20240406_122407,0,160
GRB006,20240406_122407,1,47
GRB006,20240407_123014,1,63
GRB006,20240407_123014,0,2
GRB006,20240407_123014,1,110
GRB006,20240408_135314,0,29
GRB006,20240408_135314,1,375
GRB006,20240419_151040,1,28
GRB006,20240423_162658,0,43
GRB006,20240423_162658,2,2
GRB006,20240423_162658,0,135
GRB006,20240423_162658,1,135
GRB006,20240424_150511,1,10
GRB006,20240424_150511,0,23
GRB006,20240424_150511,1,108
GRB006,20240424_150511,0,106
GRB006,20240426_174044,0,11
GRB006,20240429_174359,0,12
GRB006,20240429_174359,1,24
GRB006,20240429_174359,0,274
GRB006,20240429_184502,0,73
GRB006,20240430_183206,0,297
GRB006,20240501_195113,0,115
GRB006,20240501_195113,2,2
GRB006,20240501_195113,0,301
GRB006,20240502_161058,1,31
GRB006,20240502_161058,0,315
GRB006,20240503_163955,1,14
GRB006,20240503_163955,0,34
GRB006,20240503_163955,2,3
GRB006,20240503_163955,0,298
GRB006,20240506_171411,1,20
GRB006,20240506_171411,0,366
GRB006,20240507_180829,2,2
GRB006,20240507_180829,0,445
GRB006,20240508_173227,0,322
GRB006,20240509_163637,2,1
GRB006,20240509_163637,0,447
GRB006,20240510_180411,0,415
GRB006,20240514_164132,0,21
GRB006,20240515_164745,1,14
GRB006,20240515_164745,0,57
GRB006,20240516_140225,0,10
GRB006,20240517_161352,0,474
GRB006,20240521_170727,0,604
GRB006,20240522_170215,1,11
GRB006,20240522_170215,0,649
GRB006,20240523_174600,1,13
GRB006,20240523_174600,0,444
GRB006,20240524_162152,0,470
GRB006,20240529_150103,0,339
GRB006,20240529_150103,1,36
GRB006,20240529_150103,0,7
GRB006,20240530_164626,1,49
GRB006,20240530_164626,0,430
GRB006,20240531_164435,1,43
GRB006,20240531_164435,0,357
GRB006,20240604_123410,1,25
GRB006,20240604_123410,0,340
GRB006,20240605_133531,0,348
GRB006,20240606_141045,0,399
GRB006,20240607_133855,0,297
GRB006,20240610_133557,1,113
GRB006,20240610_133557,0,92
GRB006,20240610_133557,1,74
GRB006,20240610_133557,0,4
GRB006,20240611_134554,0,457
GRB006,20240612_142350,1,14
GRB006,20240612_142350,0,431
GRB006,20240613_140011,0,381
GRB006,20240614_132538,1,16
GRB006,20240614_132538,0,411
GRB006,20240617_123448,1,50
GRB006,20240617_123448,0,87
GRB006,20240617_123448,1,174
GRB006,20240620_124808,1,6
GRB006,20240620_124808,0,113
GRB006,20240620_124808,1,33
GRB006,20240620_124808,0,219
GRB006,20240621_143838,1,92
GRB006,20240621_143838,0,55
GRB006,20240621_143838,1,91
GRB006,20240621_143838,0,57
GRB006,20240624_112117,0,19
GRB006,20240624_112117,1,18
GRB006,20240624_112117,0,285
GRB006,20240625_130638,1,1
GRB006,20240625_130638,0,6
GRB006,20240625_130638,1,3
GRB006,20240625_130638,0,446
GRB006,20240625_130638,1,9
GRB006,20240626_113043,1,110
GRB006,20240626_113043,0,15
GRB006,20240627_141852,1,12
GRB006,20240628_130506,0,343
GRB006,20240701_112146,1,29
GRB006,20240701_112146,0,380
GRB006,20240702_134736,0,258
GRB006,20240702_134736,1,40
GRB006,20240702_134736,0,20
GRB006,20240710_124222,1,25
GRB006,20240710_124222,0,217
GRB006,20240711_134140,1,17
GRB006,20240711_134140,0,27
GRB006,20240711_134140,1,77
GRB006,20240711_134140,0,78
GRB006,20240711_134140,1,29
GRB006,20240715_134530,1,8
GRB006,20240715_134530,0,210
GRB006,20240715_134530,1,68
GRB006,20240716_151257,1,5
GRB006,20240716_151257,0,348
GRB006,20240717_154846,0,112
GRB006,20240717_154846,1,119
GRB006,20240717_154846,0,88
GRB006,20240718_150828,0,268
GRB006,20240722_142540,1,43
GRB006,20240722_142540,0,234
GRB006,20240723_142451,0,397
GRB006,20240724_144439,1,55
GRB006,20240724_144439,0,150
GRB006,20240724_144439,1,76
GRB006,20240725_153628,1,195
GRB006,20240725_153628,0,96
GRB006,20240725_153628,1,54
GRB006,20240725_153628,0,3
GRB006,20240729_155308,1,78
GRB006,20240729_155308,0,79
GRB006,20240729_155308,1,1
GRB006,20240729_155308,0,13
GRB006,20240729_155308,1,20
GRB006,20240729_155308,0,16
GRB006,20240729_155308,1,8
GRB006,20240729_155308,0,26
GRB006,20240729_155308,1,56
GRB006,20240730_142934,1,221
GRB006,20240801_164225,1,27
GRB006,20240801_164225,0,152
GRB006,20240801_164225,1,91
GRB006,20240805_142718,1,106
GRB006,20240805_142718,0,204
GRB006,20240805_142718,1,26
GRB006,20240806_141817,1,24
GRB006,20240806_141817,0,305
GRB006,20240806_141817,1,54
GRB006,20240807_120640,1,11
GRB006,20240807_120640,0,4
GRB006,20240807_120640,1,27
GRB006,20240807_120640,0,168
GRB006,20240807_120640,1,69
GRB006,20240807_120640,0,70
GRB006,20240807_120640,1,25
GRB006,20240807_120640,0,14
GRB006,20240813_132409,1,13
GRB006,20240814_154434,1,32
GRB006,20240814_154434,0,70
GRB006,20240814_154434,1,27
GRB006,20240814_154434,0,142
GRB006,20240815_111040,0,312
GRB006,20240819_110829,1,393
GRB006,20240820_115126,1,207
GRB006,20240821_121447,1,292
GRB006,20240821_121447,0,2
GRB006,20240822_100914,1,273
GRB006,20241002_142716,0,107
GRB006,20241002_142716,1,86
GRB006,20241002_142716,0,14
GRB006,20241003_112246,1,2
GRB006,20241003_112246,0,69
GRB006,20241003_112246,2,5
GRB006,20241003_112246,0,40
GRB006,20241003_112246,1,56
GRB006,20241003_112246,0,15
GRB006,20241003_112246,2,8
GRB006,20241003_112246,0,6
GRB006,20241003_112246,2,9
GRB006,20241003_112246,0,25
GRB006,20241004_120803,0,112
GRB006,20241004_120803,2,2
GRB006,20241004_120803,1,2
GRB006,20241004_120803,0,1
GRB006,20241004_120803,1,18
GRB006,20241004_120803,0,72
GRB006,20241007_142037,0,166
GRB006,20241008_151755,0,146
GRB006,20241008_151755,1,4
GRB006,20241011_121243,0,32
GRB006,20241011_121243,2,3
GRB006,20241011_121243,0,102
GRB006,20241011_121243,1,4
GRB006,20241011_121243,0,5
GRB006,20241011_121243,1,32
GRB006,20241015_145423,0,49
GRB006,20241015_145423,2,6
GRB006,20241015_145423,0,74
GRB006,20241015_145423,2,6
GRB006,20241015_145423,0,30
GRB006,20241016_153658,0,67
GRB006,20241016_153658,1,50
GRB006,20241018_141859,0,92
GRB006,20241018_141859,2,5
GRB006,20241018_141859,0,35
GRB006,20241018_141859,2,3
GRB006,20241018_141859,0,8
GRB006,20241018_141859,2,8
GRB006,20241018_141859,0,14
GRB006,20241021_172639,1,48
