trial_index_decile,state,posterior_occupancy
1,0,0.25338328
2,0,0.43349877
3,0,0.44186836
4,0,0.45043543
5,0,0.47687054
6,0,0.4914351
7,0,0.49211806
8,0,0.4636599
9,0,0.4502954
10,0,0.4060922
1,1,0.7466167
2,1,0.56650126
3,1,0.5581317
4,1,0.54956454
5,1,0.52312946
6,1,0.5085649
7,1,0.50788194
8,1,0.5363401
9,1,0.5497046
10,1,0.59390783
