subject_name,session_name,state,dwell_trials
GRB006,20230919_133340,1,94
GRB006,20230920_155219,1,58
GRB006,20230920_155219,0,34
GRB006,20230920_155219,1,25
GRB006,20230920_155219,0,3
GRB006,20230921_133636,1,8
GRB006,20230921_133636,0,62
GRB006,20230921_133636,1,10
GRB006,20230921_133636,0,39
GRB006,20230921_133636,1,9
GRB006,20230921_133636,0,2
GRB006,20230921_133636,1,4
GRB006,20230922_131609,1,5
GRB006,20230922_131609,0,16
GRB006,20230922_131609,1,10
GRB006,20230922_131609,0,89
GRB006,20230922_131609,1,20
GRB006,20230922_131609,0,14
GRB006,20230925_154539,1,3
GRB006,20230925_154539,0,67
GRB006,20230926_123033,1,3
GRB006,20230926_123033,0,65
GRB006,20230926_123033,1,1
GRB006,20230926_123033,0,30
GRB006,20230926_123033,1,21
GRB006,20230926_123033,0,26
GRB006,20230927_145701,1,30
GRB006,20230927_145701,0,14
GRB006,20230927_145701,1,20
GRB006,20230927_145701,0,25
GRB006,20230927_145701,1,20
GRB006,20230927_145701,0,17
GRB006,20230927_145701,1,21
GRB006,20230927_145701,0,32
GRB006,20230928_145546,1,8
GRB006,20230928_145546,0,51
GRB006,20230928_145546,1,1
GRB006,20230928_145546,0,49
GRB006,20230928_145546,1,12
GRB006,20230928_145546,0,29
GRB006,20230928_145546,1,16
GRB006,20230928_145546,0,6
GRB006,20230928_145546,1,5
GRB006,20230928_145546,0,12
GRB006,20230928_145546,1,17
GRB006,20230928_145546,0,16
GRB006,20230928_145546,1,12
GRB006,20230929_145546,1,19
GRB006,20230929_145546,0,16
GRB006,20230929_145546,1,35
GRB006,20230929_145546,0,23
GRB006,20230929_145546,1,14
GRB006,20230929_145546,0,3
GRB006,20230929_145546,1,11
GRB006,20230929_145546,0,25
GRB006,20230929_145546,1,17
GRB006,20230929_145546,0,12
GRB006,20230929_145546,1,12
GRB006,20230929_145546,0,11
GRB006,20231002_140748,1,25
GRB006,20231002_140748,0,14
GRB006,20231002_140748,1,3
GRB006,20231002_140748,0,40
GRB006,20231002_140748,1,6
GRB006,20231002_140748,0,28
GRB006,20231002_140748,1,1
GRB006,20231002_140748,0,23
GRB006,20231002_140748,1,10
GRB006,20231003_141126,1,17
GRB006,20231003_141126,0,39
GRB006,20231003_141126,1,17
GRB006,20231003_141126,0,39
GRB006,20231003_141126,1,11
GRB006,20231003_141126,0,95
GRB006,20231004_122636,1,24
GRB006,20231004_122636,0,69
GRB006,20231004_122636,1,8
GRB006,20231004_122636,0,31
GRB006,20231004_122636,1,19
GRB006,20231004_122636,0,29
GRB006,20231004_122636,1,6
GRB006,20231004_122636,0,45
GRB006,20231005_133120,1,6
GRB006,20231005_133120,0,224
GRB006,20231006_132453,1,39
GRB006,20231006_132453,0,4
GRB006,20231006_132453,1,60
GRB006,20231006_132453,0,2
GRB006,20231006_132453,1,17
GRB006,20231006_132453,0,96
GRB006,20231006_132453,1,14
GRB006,20231006_132453,0,55
GRB006,20231009_134122,1,25
GRB006,20231009_134122,0,11
GRB006,20231009_134122,1,52
GRB006,20231009_134122,0,129
GRB006,20231009_134122,1,1
GRB006,20231009_134122,0,5
GRB006,20231010_131131,1,7
GRB006,20231010_131131,0,7
GRB006,20231010_131131,1,17
GRB006,20231010_131131,0,120
GRB006,20231010_131131,1,3
GRB006,20231010_131131,0,20
GRB006,20231011_124016,1,7
GRB006,20231011_124016,0,16
GRB006,20231011_124016,1,17
GRB006,20231011_124016,0,154
GRB006,20231011_124016,1,16
GRB006,20231011_124016,0,6
GRB006,20231012_133025,1,20
GRB006,20231012_133025,0,6
GRB006,20231012_133025,1,22
GRB006,20231012_133025,0,63
GRB006,20231012_133025,1,10
GRB006,20231012_133025,0,12
GRB006,20231012_133025,1,5
GRB006,20231012_133025,0,40
GRB006,20231016_134002,1,9
GRB006,20231016_134002,0,10
GRB006,20231016_134002,1,16
GRB006,20231016_134002,0,36
GRB006,20231016_134002,1,10
GRB006,20231017_141854,1,19
GRB006,20231017_141854,0,56
GRB006,20231017_141854,1,1
GRB006,20231017_141854,0,25
GRB006,20231017_141854,1,10
GRB006,20231017_141854,0,29
GRB006,20231017_141854,1,32
GRB006,20231018_160206,1,14
GRB006,20231018_160206,0,11
GRB006,20231018_160206,1,7
GRB006,20231018_160206,0,82
GRB006,20231018_160206,1,4
GRB006,20231018_160206,0,45
GRB006,20231019_124131,1,3
GRB006,20231019_124131,0,25
GRB006,20231019_124131,1,12
GRB006,20231019_124131,0,22
GRB006,20231019_124131,1,1
GRB006,20231019_124131,0,61
GRB006,20231019_124131,1,2
GRB006,20231019_124131,0,19
GRB006,20231019_124131,1,28
GRB006,20231020_134744,1,6
GRB006,20231020_134744,0,27
GRB006,20231020_134744,1,6
GRB006,20231020_134744,0,10
GRB006,20231020_134744,1,3
GRB006,20231020_134744,0,39
GRB006,20231020_134744,1,10
GRB006,20231020_134744,0,19
GRB006,20231020_134744,1,4
GRB006,20231020_134744,0,23
GRB006,20231023_142912,1,22
GRB006,20231023_142912,0,14
GRB006,20231024_141355,1,3
GRB006,20231024_141355,0,39
GRB006,20231024_141355,1,33
GRB006,20231026_115451,1,3
GRB006,20231026_115451,0,27
GRB006,20231026_115451,1,5
GRB006,20231026_115451,0,33
GRB006,20231027_125224,1,20
GRB006,20231027_125224,0,23
GRB006,20231027_125224,1,21
GRB006,20231027_125224,0,15
GRB006,20231027_125224,1,4
GRB006,20231027_125224,0,12
GRB006,20231027_125224,1,5
GRB006,20231031_133131,1,16
GRB006,20231031_133131,0,8
GRB006,20231101_130616,1,54
GRB006,20231101_130616,0,15
