scope,subject_name,num_states,fold,seed,ordered_state,original_state,intercept,stimulus_evidence_hz,previous_choice,previous_reward
full_data,GRB006,4,-1,0,0,0,0.2593720555305481,0.4010891914367676,0.12524941563606262,0.2833843231201172
full_data,GRB006,4,-1,0,1,1,-0.8629410266876221,0.23442083597183228,0.2750357389450073,-0.2599002420902252
full_data,GRB006,4,-1,0,2,2,2.999495506286621,-0.21545632183551788,2.1781203746795654,-0.35834503173828125
full_data,GRB006,4,-1,0,3,3,-0.9858143329620361,-0.964500904083252,-2.8602967262268066,-0.19168436527252197
full_data,GRB006,4,-1,1,0,1,0.4304792284965515,0.310467928647995,0.23697079718112946,-0.37158942222595215
full_data,GRB006,4,-1,1,1,3,-2.8511409759521484,0.15511298179626465,-1.282051682472229,-0.2699779272079468
full_data,GRB006,4,-1,1,2,2,0.4395411014556885,0.09860092401504517,0.5038039684295654,0.16701900959014893
full_data,GRB006,4,-1,1,3,0,-2.5036368370056152,-2.3569083213806152,1.5459336042404175,0.3571755886077881
full_data,GRB006,4,-1,2,0,2,-0.09372889995574951,1.2207565307617188,-0.896284282207489,-3.31442928314209
full_data,GRB006,4,-1,2,1,1,-0.4803076982498169,0.7087380886077881,1.8304704427719116,-0.3009394407272339
full_data,GRB006,4,-1,2,2,3,0.587666392326355,0.2597404718399048,0.2629126310348511,-0.2735583186149597
full_data,GRB006,4,-1,2,3,0,-1.3016470670700073,0.12008248269557953,0.023552291095256805,-0.1630086898803711
