subject_name,session_name,state,posterior_occupancy
GRB006,20230919_133340,0,0.36047858
GRB006,20230920_155219,0,0.71019137
GRB006,20230921_133636,0,0.99244165
GRB006,20230922_131609,0,0.99745256
GRB006,20230925_154539,0,0.99741906
GRB006,20230926_123033,0,0.99553615
GRB006,20230927_145701,0,0.86183953
GRB006,20230928_145546,0,0.9756098
GRB006,20230929_145546,0,0.9922019
GRB006,20231002_140748,0,0.9199878
GRB006,20231003_141126,0,0.99317205
GRB006,20231004_122636,0,0.99340075
GRB006,20231005_133120,0,0.9983133
GRB006,20231006_132453,0,0.9945683
GRB006,20231009_134122,0,0.9916242
GRB006,20231010_131131,0,0.9959905
GRB006,20231011_124016,0,0.9937344
GRB006,20231012_133025,0,0.89825165
GRB006,20231016_134002,0,0.97722125
GRB006,20231017_141854,0,0.99336135
GRB006,20231018_160206,0,0.9919491
GRB006,20231019_124131,0,0.97565436
GRB006,20231020_134744,0,0.99015623
GRB006,20231023_142912,0,0.8514979
GRB006,20231024_141355,0,0.99282897
GRB006,20231026_115451,0,0.9949047
GRB006,20231027_125224,0,0.9734578
GRB006,20231031_133131,0,0.99085385
GRB006,20231101_130616,0,0.7057328
GRB006,20231102_142814,0,0.6318799
GRB006,20231103_124436,0,0.08949048
GRB006,20231106_143523,0,0.56347907
GRB006,20231107_131358,0,0.43400717
GRB006,20231108_143210,0,0.099669464
GRB006,20231109_132341,0,0.82927525
GRB006,20231113_132100,0,0.9484551
GRB006,20231114_135633,0,0.96305275
GRB006,20231115_134443,0,0.19845639
GRB006,20231116_150200,0,0.048678223
GRB006,20231117_185904,0,0.0051173787
GRB006,20231127_133022,0,0.081494614
GRB006,20231128_141426,0,0.024678359
GRB006,20231130_135215,0,0.020017581
GRB006,20231201_113419,0,0.14692232
GRB006,20231208_131651,0,0.0020721313
GRB006,20231211_134311,0,0.010054188
GRB006,20231212_130030,0,0.0009846841
GRB006,20231215_112543,0,0.00057817454
GRB006,20240109_144700,0,0.20873812
GRB006,20240110_135431,0,0.49119386
GRB006,20240110_162338,0,0.013035233
GRB006,20240111_132629,0,0.0017347344
GRB006,20240112_135518,0,0.006662747
GRB006,20240116_163044,0,0.005629248
GRB006,20240117_152600,0,0.0021079427
GRB006,20240118_133404,0,0.0017210196
GRB006,20240228_131618,0,0.62165385
GRB006,20240229_132420,0,0.45979914
GRB006,20240301_144326,0,0.09351757
GRB006,20240304_122108,0,0.0026772672
GRB006,20240305_135034,0,0.016220901
GRB006,20240306_133858,0,0.07405954
GRB006,20240307_155109,0,0.25640085
GRB006,20240308_152123,0,0.5932375
GRB006,20240311_174310,0,0.0014069886
GRB006,20240313_141512,0,0.004390881
GRB006,20240314_155950,0,0.044672254
GRB006,20240315_141855,0,0.66775405
GRB006,20240318_125437,0,0.69388366
GRB006,20240319_120110,0,0.4869065
GRB006,20240320_124113,0,0.01087704
GRB006,20240321_131913,0,0.0051761884
GRB006,20240322_141501,0,0.5111235
GRB006,20240323_142335,0,0.9622362
GRB006,20240324_135731,0,0.9630866
GRB006,20240325_115618,0,0.85731506
GRB006,20240326_140658,0,0.9353398
GRB006,20240327_154217,0,0.71924955
GRB006,20240328_135035,0,0.9875112
GRB006,20240330_144712,0,0.9369286
GRB006,20240331_132807,0,0.8968149
GRB006,20240401_125219,0,0.6498378
GRB006,20240402_140646,0,0.73332685
GRB006,20240403_131227,0,0.8800201
GRB006,20240404_115105,0,0.90690094
GRB006,20240405_142239,0,0.9041479
GRB006,20240406_122407,0,0.84155303
GRB006,20240407_123014,0,0.44312948
GRB006,20240408_135314,0,0.1572643
GRB006,20240419_151040,0,0.016100502
GRB006,20240423_162658,0,0.71469176
GRB006,20240424_150511,0,0.74396545
GRB006,20240426_174044,0,0.79337084
GRB006,20240429_174359,0,0.91021925
GRB006,20240429_184502,0,0.988039
GRB006,20240430_183206,0,0.9878011
GRB006,20240501_195113,0,0.9825179
GRB006,20240502_161058,0,0.9546884
GRB006,20240503_163955,0,0.93811554
GRB006,20240506_171411,0,0.6305404
GRB006,20240507_180829,0,0.93218935
GRB006,20240508_173227,0,0.99501556
GRB006,20240509_163637,0,0.9730817
GRB006,20240510_180411,0,0.9891211
GRB006,20240514_164132,0,0.058177322
GRB006,20240515_164745,0,0.09467893
GRB006,20240516_140225,0,0.43131962
GRB006,20240517_161352,0,0.9685925
GRB006,20240521_170727,0,0.99450016
GRB006,20240522_170215,0,0.92338526
GRB006,20240523_174600,0,0.9121257
GRB006,20240524_162152,0,0.9953946
GRB006,20240529_150103,0,0.9658332
GRB006,20240530_164626,0,0.92793614
GRB006,20240531_164435,0,0.9240978
GRB006,20240604_123410,0,0.9783816
GRB006,20240605_133531,0,0.9919166
GRB006,20240606_141045,0,0.9823478
GRB006,20240607_133855,0,0.9951476
GRB006,20240610_133557,0,0.0718628
GRB006,20240611_134554,0,0.9938126
GRB006,20240612_142350,0,0.9673283
GRB006,20240613_140011,0,0.9817857
GRB006,20240614_132538,0,0.95273435
GRB006,20240617_123448,0,0.6586263
GRB006,20240620_124808,0,0.9796305
GRB006,20240621_143838,0,0.7827272
GRB006,20240624_112117,0,0.96154684
GRB006,20240625_130638,0,0.96315604
GRB006,20240626_113043,0,0.31988126
GRB006,20240627_141852,0,0.1833647
GRB006,20240628_130506,0,0.98030555
GRB006,20240701_112146,0,0.93113095
GRB006,20240702_134736,0,0.8762654
GRB006,20240710_124222,0,0.86646295
GRB006,20240711_134140,0,0.781803
GRB006,20240715_134530,0,0.83262265
GRB006,20240716_151257,0,0.97310543
GRB006,20240717_154846,0,0.8528469
GRB006,20240718_150828,0,0.961803
GRB006,20240722_142540,0,0.8715595
GRB006,20240723_142451,0,0.9822006
GRB006,20240724_144439,0,0.68337786
GRB006,20240725_153628,0,0.6271058
GRB006,20240729_155308,0,0.77766955
GRB006,20240730_142934,0,0.25167105
GRB006,20240801_164225,0,0.8579968
GRB006,20240805_142718,0,0.63148236
GRB006,20240806_141817,0,0.91517335
GRB006,20240807_120640,0,0.9003471
GRB006,20240813_132409,0,0.065838404
GRB006,20240814_154434,0,0.822699
GRB006,20240815_111040,0,0.978535
GRB006,20240819_110829,0,0.00942505
GRB006,20240820_115126,0,0.039080754
GRB006,20240821_121447,0,0.19535522
GRB006,20240822_100914,0,0.03242605
GRB006,20241002_142716,0,0.018851515
